uid,vid,cid,playtime,duration,date,rank
100000,101412,100026,9870,18267,20200904,1
100000,108026,100009,10131,11467,20200904,2
100000,102864,100017,10139,10200,20200904,3
100000,103024,100221,10119,9009,20200904,4
100000,100321,100099,10165,7500,20200904,5
100001,103854,100054,11821,48149,20200904,1
100001,103810,100010,12038,6934,20200904,2
100001,104063,100012,11434,10234,20200904,3
100001,102846,100037,12717,7234,20200904,4
100001,106542,100043,10865,7134,20200904,5
100026,102162,100019,10763,11155,20200904,1
100026,104213,100049,8775,6067,20200904,2
100026,100600,100000,6788,4988,20200904,3
100026,100580,100017,6784,3390,20200904,4
100026,103047,100008,6778,6920,20200904,5
100027,107815,100017,1811,7106,20200904,1
100027,105134,100017,5385,11560,20200904,2
100027,101450,100090,11530,15267,20200904,3
100027,102234,100028,26820,14000,20200904,4
100027,101002,100017,11808,7467,20200904,5
100033,103858,100017,7053,6761,20200904,1
100033,105427,100009,7084,10678,20200904,2
100033,100186,100042,10136,8287,20200904,3
100033,102278,100224,21348,10428,20200904,4
100033,103842,100045,7068,6014,20200904,5
100044,102770,100000,5693,14933,20200904,1
100044,104100,100000,3358,7756,20200904,2
100044,102285,100260,3187,20492,20200904,3
100044,101002,100017,2310,7467,20200904,4
100044,102318,100037,10214,15655,20200904,5
100071,103232,100013,16224,14395,20200904,1
100071,100888,100112,10473,9451,20200904,2
100071,102977,100068,6546,10635,20200904,3
100071,101859,100059,3845,15055,20200904,4
100071,100171,100012,6712,33817,20200904,5
100074,107385,100419,3310,42200,20200904,1
100074,102356,100005,6907,142153,20200904,2
100074,103650,100333,3884,9400,20200904,3
100074,103240,100089,31324,10221,20200904,4
100074,101516,100019,6272,9643,20200904,5
100076,104449,100027,1535,13514,20200904,1
100076,100801,100055,5512,3065,20200904,2
100076,102071,100027,7512,7067,20200904,3
100076,102771,100027,7503,8034,20200904,4
100076,102146,100063,1287,6507,20200904,5
100083,103081,100099,9534,10748,20200904,1
100083,100451,100000,9528,6467,20200904,2
100083,103268,100017,9525,6502,20200904,3
100083,104618,100122,9551,11053,20200904,4
100083,100080,100017,9501,6188,20200904,5
100105,102318,100037,2923,15655,20200904,1
100105,101143,100163,27524,8614,20200904,2
100105,101145,100013,12582,11534,20200904,3
100105,104048,100054,20966,31201,20200904,4
100105,101756,100000,6785,8725,20200904,5
100106,103265,100000,14162,9934,20200904,1
100106,105393,100030,14156,29200,20200904,2
100106,100458,100000,13180,3967,20200904,3
100106,101255,100000,39802,11308,20200904,4
100106,101065,100000,13153,10325,20200904,5
100121,100801,100055,9927,3065,20200904,1
100121,103017,100027,9943,10310,20200904,2
100121,103047,100008,9919,6920,20200904,3
100121,102848,100027,9930,7477,20200904,4
100121,105234,100007,9713,38174,20200904,5
100137,101678,100000,715,14167,20200904,1
100137,100801,100055,4136,3034,20200904,2
100137,103899,100017,367,31267,20200904,3
